,name of dissemination case,number of bikes,duration,name of map,seed
0,SimulationMode.K_ZERO,2,undetermined,Mapsize.MEDIUM,10
1,SimulationMode.K_ONE,2,undetermined,Mapsize.MEDIUM,10
2,SimulationMode.K_TWO,2,undetermined,Mapsize.MEDIUM,10
3,SimulationMode.K_TREE,2,undetermined,Mapsize.MEDIUM,10
4,SimulationMode.K_ZERO,3,undetermined,Mapsize.MEDIUM,10
5,SimulationMode.K_ONE,3,40851,Mapsize.MEDIUM,10
6,SimulationMode.K_TWO,3,34696,Mapsize.MEDIUM,10
7,SimulationMode.K_TREE,3,undetermined,Mapsize.MEDIUM,10
8,SimulationMode.K_ZERO,4,38300,Mapsize.MEDIUM,10
9,SimulationMode.K_ONE,4,41397,Mapsize.MEDIUM,10
10,SimulationMode.K_TWO,4,41867,Mapsize.MEDIUM,10
11,SimulationMode.K_TREE,4,undetermined,Mapsize.MEDIUM,10
12,SimulationMode.K_ZERO,5,24658,Mapsize.MEDIUM,10
13,SimulationMode.K_ONE,5,30677,Mapsize.MEDIUM,10
14,SimulationMode.K_TWO,5,38627,Mapsize.MEDIUM,10
15,SimulationMode.K_TREE,5,43002,Mapsize.MEDIUM,10
16,SimulationMode.K_ZERO,6,24405,Mapsize.MEDIUM,10
17,SimulationMode.K_ONE,6,24585,Mapsize.MEDIUM,10
18,SimulationMode.K_TWO,6,18301,Mapsize.MEDIUM,10
19,SimulationMode.K_TREE,6,21596,Mapsize.MEDIUM,10
20,SimulationMode.K_ZERO,8,34940,Mapsize.MEDIUM,10
21,SimulationMode.K_ONE,8,14014,Mapsize.MEDIUM,10
22,SimulationMode.K_TWO,8,15697,Mapsize.MEDIUM,10
23,SimulationMode.K_TREE,8,16963,Mapsize.MEDIUM,10
24,SimulationMode.K_ZERO,10,14692,Mapsize.MEDIUM,10
25,SimulationMode.K_ONE,10,13268,Mapsize.MEDIUM,10
26,SimulationMode.K_TWO,10,12285,Mapsize.MEDIUM,10
27,SimulationMode.K_TREE,10,12383,Mapsize.MEDIUM,10
28,SimulationMode.K_ZERO,12,9886,Mapsize.MEDIUM,10
29,SimulationMode.K_ONE,12,14206,Mapsize.MEDIUM,10
30,SimulationMode.K_TWO,12,8815,Mapsize.MEDIUM,10
31,SimulationMode.K_TREE,12,13370,Mapsize.MEDIUM,10
32,SimulationMode.K_ZERO,16,8856,Mapsize.MEDIUM,10
33,SimulationMode.K_ONE,16,8040,Mapsize.MEDIUM,10
34,SimulationMode.K_TWO,16,12699,Mapsize.MEDIUM,10
35,SimulationMode.K_TREE,16,7916,Mapsize.MEDIUM,10
36,SimulationMode.K_ZERO,20,6982,Mapsize.MEDIUM,10
37,SimulationMode.K_ONE,20,7270,Mapsize.MEDIUM,10
38,SimulationMode.K_TWO,20,6961,Mapsize.MEDIUM,10
39,SimulationMode.K_TREE,20,6016,Mapsize.MEDIUM,10
40,SimulationMode.K_ZERO,25,7756,Mapsize.MEDIUM,10
41,SimulationMode.K_ONE,25,5480,Mapsize.MEDIUM,10
42,SimulationMode.K_TWO,25,5983,Mapsize.MEDIUM,10
43,SimulationMode.K_TREE,25,4503,Mapsize.MEDIUM,10
44,SimulationMode.K_ZERO,2,undetermined,Mapsize.MEDIUM,11
45,SimulationMode.K_ONE,2,undetermined,Mapsize.MEDIUM,11
46,SimulationMode.K_TWO,2,undetermined,Mapsize.MEDIUM,11
47,SimulationMode.K_TREE,2,undetermined,Mapsize.MEDIUM,11
48,SimulationMode.K_ZERO,3,undetermined,Mapsize.MEDIUM,11
49,SimulationMode.K_ONE,3,undetermined,Mapsize.MEDIUM,11
50,SimulationMode.K_TWO,3,undetermined,Mapsize.MEDIUM,11
51,SimulationMode.K_TREE,3,undetermined,Mapsize.MEDIUM,11
52,SimulationMode.K_ZERO,4,28100,Mapsize.MEDIUM,11
53,SimulationMode.K_ONE,4,undetermined,Mapsize.MEDIUM,11
54,SimulationMode.K_TWO,4,39558,Mapsize.MEDIUM,11
55,SimulationMode.K_TREE,4,29144,Mapsize.MEDIUM,11
56,SimulationMode.K_ZERO,5,40209,Mapsize.MEDIUM,11
57,SimulationMode.K_ONE,5,27492,Mapsize.MEDIUM,11
58,SimulationMode.K_TWO,5,23769,Mapsize.MEDIUM,11
59,SimulationMode.K_TREE,5,28037,Mapsize.MEDIUM,11
60,SimulationMode.K_ZERO,6,32072,Mapsize.MEDIUM,11
61,SimulationMode.K_ONE,6,28918,Mapsize.MEDIUM,11
62,SimulationMode.K_TWO,6,25797,Mapsize.MEDIUM,11
63,SimulationMode.K_TREE,6,38704,Mapsize.MEDIUM,11
64,SimulationMode.K_ZERO,8,16168,Mapsize.MEDIUM,11
65,SimulationMode.K_ONE,8,14414,Mapsize.MEDIUM,11
66,SimulationMode.K_TWO,8,14968,Mapsize.MEDIUM,11
67,SimulationMode.K_TREE,8,22417,Mapsize.MEDIUM,11
68,SimulationMode.K_ZERO,10,25836,Mapsize.MEDIUM,11
69,SimulationMode.K_ONE,10,14101,Mapsize.MEDIUM,11
